weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012262 	 0.015662 	  0.012082 	 0.006022 	 0.030009 	 0.070309 	 0.010000 
390000000.000000 	 1473.000000 	 0.012136 	 0.015490 	  0.011954 	 0.005848 	 0.030076 	 0.070459 	 0.010001 
380000000.000000 	 1473.000000 	 0.012056 	 0.015315 	  0.011872 	 0.005672 	 0.030314 	 0.070993 	 0.010003 
370000000.000000 	 1473.000000 	 0.012067 	 0.015134 	  0.011877 	 0.005489 	 0.030887 	 0.072277 	 0.010008 
360000000.000000 	 1473.000000 	 0.012205 	 0.014943 	  0.012005 	 0.005298 	 0.031943 	 0.074639 	 0.010018 
350000000.000000 	 1473.000000 	 0.012479 	 0.014743 	  0.012265 	 0.005097 	 0.033556 	 0.078234 	 0.010033 
340000000.000000 	 1473.000000 	 0.012869 	 0.014536 	  0.012637 	 0.004891 	 0.035703 	 0.082995 	 0.010054 
330000000.000000 	 1473.000000 	 0.013336 	 0.014327 	  0.013082 	 0.004682 	 0.038289 	 0.088691 	 0.010079 
320000000.000000 	 1473.000000 	 0.013838 	 0.014119 	  0.013559 	 0.004474 	 0.041182 	 0.095014 	 0.010107 
310000000.000000 	 1473.000000 	 0.014336 	 0.013916 	  0.014030 	 0.004271 	 0.044243 	 0.101654 	 0.010136 
300000000.000000 	 1473.000000 	 0.014800 	 0.013719 	  0.014466 	 0.004074 	 0.047350 	 0.108334 	 0.010167 
290000000.000000 	 1473.000000 	 0.015208 	 0.013529 	  0.014846 	 0.003885 	 0.050397 	 0.114834 	 0.010197 
280000000.000000 	 1473.000000 	 0.015548 	 0.013347 	  0.015158 	 0.003704 	 0.053309 	 0.120995 	 0.010226 
270000000.000000 	 1473.000000 	 0.015813 	 0.013173 	  0.015396 	 0.003530 	 0.056031 	 0.126710 	 0.010254 
260000000.000000 	 1473.000000 	 0.016002 	 0.013006 	  0.015560 	 0.003363 	 0.058533 	 0.131926 	 0.010279 
250000000.000000 	 1473.000000 	 0.016117 	 0.012846 	  0.015652 	 0.003203 	 0.060803 	 0.136629 	 0.010302 
240000000.000000 	 1473.000000 	 0.016163 	 0.012693 	  0.015676 	 0.003050 	 0.062845 	 0.140837 	 0.010323 
230000000.000000 	 1473.000000 	 0.016147 	 0.012545 	  0.015640 	 0.002901 	 0.064678 	 0.144594 	 0.010342 
220000000.000000 	 1473.000000 	 0.016074 	 0.012402 	  0.015548 	 0.002758 	 0.066326 	 0.147955 	 0.010359 
210000000.000000 	 1473.000000 	 0.015952 	 0.012263 	  0.015408 	 0.002619 	 0.067816 	 0.150983 	 0.010375 
200000000.000000 	 1473.000000 	 0.015785 	 0.012128 	  0.015225 	 0.002483 	 0.069179 	 0.153742 	 0.010389 
190000000.000000 	 1473.000000 	 0.015579 	 0.011996 	  0.015003 	 0.002351 	 0.070443 	 0.156290 	 0.010402 
180000000.000000 	 1473.000000 	 0.015338 	 0.011867 	  0.014745 	 0.002222 	 0.071630 	 0.158677 	 0.010415 
170000000.000000 	 1473.000000 	 0.015062 	 0.011741 	  0.014454 	 0.002095 	 0.072760 	 0.160943 	 0.010427 
160000000.000000 	 1473.000000 	 0.014753 	 0.011618 	  0.014130 	 0.001971 	 0.073849 	 0.163120 	 0.010439 
150000000.000000 	 1473.000000 	 0.014412 	 0.011496 	  0.013773 	 0.001849 	 0.074908 	 0.165230 	 0.010450 
140000000.000000 	 1473.000000 	 0.014036 	 0.011377 	  0.013382 	 0.001729 	 0.075943 	 0.167287 	 0.010461 
130000000.000000 	 1473.000000 	 0.013624 	 0.011259 	  0.012954 	 0.001610 	 0.076958 	 0.169300 	 0.010472 
120000000.000000 	 1473.000000 	 0.013173 	 0.011144 	  0.012487 	 0.001494 	 0.077954 	 0.171270 	 0.010482 
110000000.000000 	 1473.000000 	 0.012678 	 0.011030 	  0.011976 	 0.001380 	 0.078931 	 0.173196 	 0.010493 
100000000.000000 	 1473.000000 	 0.012135 	 0.010917 	  0.011416 	 0.001267 	 0.079885 	 0.175072 	 0.010503 
90000000.000000 	 1473.000000 	 0.011538 	 0.010806 	  0.010802 	 0.001155 	 0.080810 	 0.176889 	 0.010513 
80000000.000000 	 1473.000000 	 0.010878 	 0.010696 	  0.010125 	 0.001044 	 0.081702 	 0.178634 	 0.010523 
70000000.000000 	 1473.000000 	 0.010147 	 0.010587 	  0.009376 	 0.000933 	 0.082550 	 0.180292 	 0.010532 
60000000.000000 	 1473.000000 	 0.009331 	 0.010477 	  0.008543 	 0.000823 	 0.083347 	 0.181844 	 0.010541 
50000000.000000 	 1473.000000 	 0.008415 	 0.010367 	  0.007608 	 0.000712 	 0.084078 	 0.183267 	 0.010549 
40000000.000000 	 1473.000000 	 0.007375 	 0.010254 	  0.006549 	 0.000599 	 0.084730 	 0.184532 	 0.010556 
30000000.000000 	 1473.000000 	 0.006178 	 0.010138 	  0.005334 	 0.000481 	 0.085281 	 0.185601 	 0.010563 
20000000.000000 	 1473.000000 	 0.004774 	 0.010013 	  0.003910 	 0.000355 	 0.085704 	 0.186422 	 0.010567 
