weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012788 	 0.015612 	  0.012596 	 0.005974 	 0.031806 	 0.074334 	 0.010017 
390000000.000000 	 1473.000000 	 0.013879 	 0.015331 	  0.013651 	 0.005694 	 0.036258 	 0.084219 	 0.010059 
380000000.000000 	 1473.000000 	 0.015311 	 0.015032 	  0.015034 	 0.005398 	 0.042408 	 0.097679 	 0.010118 
370000000.000000 	 1473.000000 	 0.016683 	 0.014749 	  0.016352 	 0.005118 	 0.048861 	 0.111564 	 0.010181 
360000000.000000 	 1473.000000 	 0.017778 	 0.014496 	  0.017396 	 0.004867 	 0.054622 	 0.123756 	 0.010239 
350000000.000000 	 1473.000000 	 0.018543 	 0.014273 	  0.018119 	 0.004645 	 0.059253 	 0.133421 	 0.010285 
340000000.000000 	 1473.000000 	 0.019016 	 0.014075 	  0.018560 	 0.004447 	 0.062747 	 0.140636 	 0.010321 
330000000.000000 	 1473.000000 	 0.019270 	 0.013894 	  0.018789 	 0.004267 	 0.065335 	 0.145936 	 0.010347 
320000000.000000 	 1473.000000 	 0.019381 	 0.013725 	  0.018878 	 0.004098 	 0.067313 	 0.149962 	 0.010368 
310000000.000000 	 1473.000000 	 0.019404 	 0.013564 	  0.018884 	 0.003936 	 0.068938 	 0.153255 	 0.010385 
300000000.000000 	 1473.000000 	 0.019379 	 0.013408 	  0.018843 	 0.003780 	 0.070394 	 0.156193 	 0.010400 
290000000.000000 	 1473.000000 	 0.019327 	 0.013255 	  0.018775 	 0.003627 	 0.071793 	 0.159006 	 0.010414 
280000000.000000 	 1473.000000 	 0.019260 	 0.013105 	  0.018691 	 0.003476 	 0.073197 	 0.161818 	 0.010429 
270000000.000000 	 1473.000000 	 0.019181 	 0.012958 	  0.018596 	 0.003328 	 0.074639 	 0.164694 	 0.010444 
260000000.000000 	 1473.000000 	 0.019094 	 0.012812 	  0.018491 	 0.003182 	 0.076134 	 0.167667 	 0.010460 
250000000.000000 	 1473.000000 	 0.018997 	 0.012669 	  0.018375 	 0.003038 	 0.077693 	 0.170753 	 0.010477 
240000000.000000 	 1473.000000 	 0.018890 	 0.012528 	  0.018249 	 0.002896 	 0.079321 	 0.173963 	 0.010494 
230000000.000000 	 1473.000000 	 0.018773 	 0.012388 	  0.018111 	 0.002757 	 0.081022 	 0.177305 	 0.010512 
220000000.000000 	 1473.000000 	 0.018643 	 0.012251 	  0.017960 	 0.002620 	 0.082802 	 0.180782 	 0.010531 
210000000.000000 	 1473.000000 	 0.018499 	 0.012116 	  0.017794 	 0.002484 	 0.084662 	 0.184401 	 0.010551 
200000000.000000 	 1473.000000 	 0.018340 	 0.011983 	  0.017611 	 0.002351 	 0.086606 	 0.188165 	 0.010573 
190000000.000000 	 1473.000000 	 0.018162 	 0.011852 	  0.017408 	 0.002220 	 0.088637 	 0.192077 	 0.010595 
180000000.000000 	 1473.000000 	 0.017964 	 0.011724 	  0.017183 	 0.002092 	 0.090756 	 0.196136 	 0.010618 
170000000.000000 	 1473.000000 	 0.017742 	 0.011597 	  0.016933 	 0.001965 	 0.092964 	 0.200343 	 0.010642 
160000000.000000 	 1473.000000 	 0.017493 	 0.011473 	  0.016654 	 0.001841 	 0.095261 	 0.204694 	 0.010668 
150000000.000000 	 1473.000000 	 0.017213 	 0.011351 	  0.016343 	 0.001719 	 0.097643 	 0.209181 	 0.010695 
140000000.000000 	 1473.000000 	 0.016896 	 0.011232 	  0.015994 	 0.001600 	 0.100108 	 0.213794 	 0.010722 
130000000.000000 	 1473.000000 	 0.016538 	 0.011114 	  0.015602 	 0.001483 	 0.102648 	 0.218517 	 0.010751 
120000000.000000 	 1473.000000 	 0.016132 	 0.010999 	  0.015161 	 0.001368 	 0.105252 	 0.223329 	 0.010781 
110000000.000000 	 1473.000000 	 0.015671 	 0.010887 	  0.014663 	 0.001256 	 0.107906 	 0.228201 	 0.010811 
100000000.000000 	 1473.000000 	 0.015145 	 0.010777 	  0.014099 	 0.001146 	 0.110592 	 0.233099 	 0.010842 
90000000.000000 	 1473.000000 	 0.014545 	 0.010669 	  0.013460 	 0.001038 	 0.113285 	 0.237978 	 0.010874 
80000000.000000 	 1473.000000 	 0.013858 	 0.010563 	  0.012732 	 0.000933 	 0.115958 	 0.242787 	 0.010905 
70000000.000000 	 1473.000000 	 0.013068 	 0.010459 	  0.011901 	 0.000829 	 0.118573 	 0.247461 	 0.010936 
60000000.000000 	 1473.000000 	 0.012157 	 0.010356 	  0.010949 	 0.000727 	 0.121088 	 0.251929 	 0.010966 
50000000.000000 	 1473.000000 	 0.011100 	 0.010255 	  0.009851 	 0.000625 	 0.123451 	 0.256101 	 0.010994 
40000000.000000 	 1473.000000 	 0.009864 	 0.010153 	  0.008574 	 0.000523 	 0.125600 	 0.259875 	 0.011020 
30000000.000000 	 1473.000000 	 0.008400 	 0.010050 	  0.007071 	 0.000419 	 0.127457 	 0.263120 	 0.011042 
20000000.000000 	 1473.000000 	 0.006631 	 0.009940 	  0.005264 	 0.000310 	 0.128918 	 0.265662 	 0.011060 
