weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070288 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011631 	 0.005512 	 0.030000 	 0.070288 	 0.010000 
360000000.000000 	 1473.000000 	 0.011662 	 0.014992 	  0.011476 	 0.005345 	 0.030000 	 0.070288 	 0.010000 
350000000.000000 	 1473.000000 	 0.011506 	 0.014829 	  0.011319 	 0.005181 	 0.030000 	 0.070288 	 0.010000 
340000000.000000 	 1473.000000 	 0.011347 	 0.014668 	  0.011159 	 0.005018 	 0.030000 	 0.070288 	 0.010000 
330000000.000000 	 1473.000000 	 0.011185 	 0.014508 	  0.010995 	 0.004857 	 0.030000 	 0.070288 	 0.010000 
320000000.000000 	 1473.000000 	 0.011021 	 0.014350 	  0.010829 	 0.004697 	 0.030000 	 0.070288 	 0.010000 
310000000.000000 	 1473.000000 	 0.010852 	 0.014194 	  0.010659 	 0.004539 	 0.030000 	 0.070289 	 0.010000 
300000000.000000 	 1473.000000 	 0.010680 	 0.014039 	  0.010485 	 0.004383 	 0.030001 	 0.070290 	 0.010000 
290000000.000000 	 1473.000000 	 0.010505 	 0.013886 	  0.010308 	 0.004229 	 0.030003 	 0.070294 	 0.010000 
280000000.000000 	 1473.000000 	 0.010325 	 0.013735 	  0.010126 	 0.004076 	 0.030006 	 0.070302 	 0.010000 
270000000.000000 	 1473.000000 	 0.010142 	 0.013585 	  0.009941 	 0.003924 	 0.030013 	 0.070316 	 0.010000 
260000000.000000 	 1473.000000 	 0.009955 	 0.013437 	  0.009753 	 0.003775 	 0.030025 	 0.070343 	 0.010000 
250000000.000000 	 1473.000000 	 0.009765 	 0.013290 	  0.009561 	 0.003626 	 0.030044 	 0.070387 	 0.010000 
240000000.000000 	 1473.000000 	 0.009573 	 0.013144 	  0.009365 	 0.003479 	 0.030076 	 0.070458 	 0.010001 
230000000.000000 	 1473.000000 	 0.009377 	 0.013000 	  0.009168 	 0.003333 	 0.030124 	 0.070565 	 0.010001 
220000000.000000 	 1473.000000 	 0.009180 	 0.012856 	  0.008968 	 0.003188 	 0.030193 	 0.070721 	 0.010002 
210000000.000000 	 1473.000000 	 0.008981 	 0.012714 	  0.008766 	 0.003045 	 0.030289 	 0.070935 	 0.010003 
200000000.000000 	 1473.000000 	 0.008781 	 0.012573 	  0.008562 	 0.002902 	 0.030416 	 0.071221 	 0.010004 
190000000.000000 	 1473.000000 	 0.008579 	 0.012432 	  0.008357 	 0.002760 	 0.030579 	 0.071588 	 0.010006 
180000000.000000 	 1473.000000 	 0.008375 	 0.012293 	  0.008148 	 0.002620 	 0.030782 	 0.072042 	 0.010007 
170000000.000000 	 1473.000000 	 0.008167 	 0.012154 	  0.007935 	 0.002480 	 0.031025 	 0.072587 	 0.010010 
160000000.000000 	 1473.000000 	 0.007953 	 0.012017 	  0.007717 	 0.002341 	 0.031310 	 0.073223 	 0.010013 
150000000.000000 	 1473.000000 	 0.007732 	 0.011880 	  0.007491 	 0.002203 	 0.031634 	 0.073948 	 0.010016 
140000000.000000 	 1473.000000 	 0.007501 	 0.011744 	  0.007253 	 0.002066 	 0.031994 	 0.074752 	 0.010019 
130000000.000000 	 1473.000000 	 0.007257 	 0.011609 	  0.007002 	 0.001930 	 0.032386 	 0.075627 	 0.010023 
120000000.000000 	 1473.000000 	 0.006995 	 0.011475 	  0.006734 	 0.001795 	 0.032804 	 0.076560 	 0.010027 
110000000.000000 	 1473.000000 	 0.006713 	 0.011342 	  0.006444 	 0.001661 	 0.033242 	 0.077535 	 0.010031 
100000000.000000 	 1473.000000 	 0.006406 	 0.011210 	  0.006129 	 0.001528 	 0.033692 	 0.078537 	 0.010036 
90000000.000000 	 1473.000000 	 0.006069 	 0.011078 	  0.005784 	 0.001395 	 0.034147 	 0.079547 	 0.010040 
80000000.000000 	 1473.000000 	 0.005698 	 0.010947 	  0.005404 	 0.001262 	 0.034598 	 0.080548 	 0.010045 
70000000.000000 	 1473.000000 	 0.005285 	 0.010815 	  0.004983 	 0.001130 	 0.035037 	 0.081520 	 0.010049 
60000000.000000 	 1473.000000 	 0.004825 	 0.010683 	  0.004514 	 0.000996 	 0.035453 	 0.082442 	 0.010053 
50000000.000000 	 1473.000000 	 0.004309 	 0.010548 	  0.003989 	 0.000861 	 0.035838 	 0.083292 	 0.010057 
40000000.000000 	 1473.000000 	 0.003726 	 0.010411 	  0.003396 	 0.000722 	 0.036179 	 0.084046 	 0.010060 
30000000.000000 	 1473.000000 	 0.003064 	 0.010267 	  0.002724 	 0.000577 	 0.036464 	 0.084675 	 0.010063 
20000000.000000 	 1473.000000 	 0.002303 	 0.010113 	  0.001954 	 0.000421 	 0.036677 	 0.085145 	 0.010065 
