weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012378 	 0.015651 	  0.012196 	 0.006011 	 0.030402 	 0.071190 	 0.010004 
390000000.000000 	 1473.000000 	 0.012662 	 0.015441 	  0.012468 	 0.005800 	 0.031896 	 0.074533 	 0.010018 
380000000.000000 	 1473.000000 	 0.013319 	 0.015201 	  0.013101 	 0.005561 	 0.034813 	 0.081023 	 0.010045 
370000000.000000 	 1473.000000 	 0.014237 	 0.014944 	  0.013986 	 0.005306 	 0.038919 	 0.090071 	 0.010084 
360000000.000000 	 1473.000000 	 0.015242 	 0.014688 	  0.014950 	 0.005052 	 0.043680 	 0.100437 	 0.010131 
350000000.000000 	 1473.000000 	 0.016187 	 0.014444 	  0.015855 	 0.004809 	 0.048553 	 0.110907 	 0.010178 
340000000.000000 	 1473.000000 	 0.016989 	 0.014217 	  0.016615 	 0.004583 	 0.053124 	 0.120604 	 0.010224 
330000000.000000 	 1473.000000 	 0.017609 	 0.014008 	  0.017199 	 0.004375 	 0.057150 	 0.129047 	 0.010264 
320000000.000000 	 1473.000000 	 0.018050 	 0.013814 	  0.017608 	 0.004182 	 0.060540 	 0.136087 	 0.010299 
310000000.000000 	 1473.000000 	 0.018332 	 0.013635 	  0.017862 	 0.004003 	 0.063321 	 0.141813 	 0.010327 
300000000.000000 	 1473.000000 	 0.018486 	 0.013466 	  0.017993 	 0.003834 	 0.065589 	 0.146453 	 0.010350 
290000000.000000 	 1473.000000 	 0.018544 	 0.013305 	  0.018031 	 0.003673 	 0.067471 	 0.150282 	 0.010370 
280000000.000000 	 1473.000000 	 0.018534 	 0.013151 	  0.018003 	 0.003519 	 0.069091 	 0.153563 	 0.010387 
270000000.000000 	 1473.000000 	 0.018477 	 0.013002 	  0.017929 	 0.003369 	 0.070552 	 0.156511 	 0.010402 
260000000.000000 	 1473.000000 	 0.018387 	 0.012856 	  0.017824 	 0.003222 	 0.071932 	 0.159284 	 0.010416 
250000000.000000 	 1473.000000 	 0.018274 	 0.012712 	  0.017694 	 0.003078 	 0.073282 	 0.161987 	 0.010430 
240000000.000000 	 1473.000000 	 0.018143 	 0.012572 	  0.017547 	 0.002937 	 0.074636 	 0.164689 	 0.010445 
230000000.000000 	 1473.000000 	 0.017996 	 0.012434 	  0.017382 	 0.002799 	 0.076013 	 0.167427 	 0.010459 
220000000.000000 	 1473.000000 	 0.017832 	 0.012298 	  0.017202 	 0.002662 	 0.077425 	 0.170223 	 0.010474 
210000000.000000 	 1473.000000 	 0.017653 	 0.012164 	  0.017004 	 0.002528 	 0.078877 	 0.173090 	 0.010490 
200000000.000000 	 1473.000000 	 0.017456 	 0.012032 	  0.016788 	 0.002396 	 0.080374 	 0.176032 	 0.010506 
190000000.000000 	 1473.000000 	 0.017239 	 0.011903 	  0.016551 	 0.002266 	 0.081915 	 0.179051 	 0.010523 
180000000.000000 	 1473.000000 	 0.017001 	 0.011775 	  0.016292 	 0.002138 	 0.083501 	 0.182144 	 0.010540 
170000000.000000 	 1473.000000 	 0.016738 	 0.011650 	  0.016008 	 0.002013 	 0.085129 	 0.185308 	 0.010557 
160000000.000000 	 1473.000000 	 0.016448 	 0.011527 	  0.015696 	 0.001890 	 0.086799 	 0.188537 	 0.010576 
150000000.000000 	 1473.000000 	 0.016127 	 0.011406 	  0.015352 	 0.001768 	 0.088506 	 0.191824 	 0.010594 
140000000.000000 	 1473.000000 	 0.015772 	 0.011288 	  0.014973 	 0.001649 	 0.090245 	 0.195158 	 0.010613 
130000000.000000 	 1473.000000 	 0.015377 	 0.011171 	  0.014554 	 0.001533 	 0.092009 	 0.198526 	 0.010633 
120000000.000000 	 1473.000000 	 0.014939 	 0.011057 	  0.014090 	 0.001418 	 0.093791 	 0.201913 	 0.010653 
110000000.000000 	 1473.000000 	 0.014449 	 0.010944 	  0.013574 	 0.001305 	 0.095581 	 0.205299 	 0.010673 
100000000.000000 	 1473.000000 	 0.013903 	 0.010834 	  0.013001 	 0.001195 	 0.097367 	 0.208661 	 0.010693 
90000000.000000 	 1473.000000 	 0.013290 	 0.010725 	  0.012360 	 0.001086 	 0.099133 	 0.211972 	 0.010713 
80000000.000000 	 1473.000000 	 0.012601 	 0.010618 	  0.011644 	 0.000978 	 0.100862 	 0.215200 	 0.010733 
70000000.000000 	 1473.000000 	 0.011824 	 0.010512 	  0.010838 	 0.000872 	 0.102535 	 0.218308 	 0.010752 
60000000.000000 	 1473.000000 	 0.010942 	 0.010407 	  0.009928 	 0.000767 	 0.104126 	 0.221253 	 0.010770 
50000000.000000 	 1473.000000 	 0.009935 	 0.010302 	  0.008892 	 0.000662 	 0.105607 	 0.223983 	 0.010787 
40000000.000000 	 1473.000000 	 0.008774 	 0.010197 	  0.007702 	 0.000555 	 0.106941 	 0.226435 	 0.010802 
30000000.000000 	 1473.000000 	 0.007418 	 0.010088 	  0.006318 	 0.000446 	 0.108085 	 0.228529 	 0.010816 
20000000.000000 	 1473.000000 	 0.005802 	 0.009972 	  0.004673 	 0.000329 	 0.108975 	 0.230156 	 0.010826 
