weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030002 	 0.070292 	 0.010000 
390000000.000000 	 1473.000000 	 0.012118 	 0.015491 	  0.011937 	 0.005850 	 0.030017 	 0.070326 	 0.010000 
380000000.000000 	 1473.000000 	 0.011989 	 0.015321 	  0.011806 	 0.005678 	 0.030083 	 0.070475 	 0.010001 
370000000.000000 	 1473.000000 	 0.011893 	 0.015149 	  0.011708 	 0.005505 	 0.030275 	 0.070905 	 0.010003 
360000000.000000 	 1473.000000 	 0.011858 	 0.014974 	  0.011667 	 0.005328 	 0.030696 	 0.071849 	 0.010007 
350000000.000000 	 1473.000000 	 0.011908 	 0.014793 	  0.011710 	 0.005146 	 0.031450 	 0.073536 	 0.010014 
340000000.000000 	 1473.000000 	 0.012055 	 0.014606 	  0.011847 	 0.004958 	 0.032604 	 0.076114 	 0.010024 
330000000.000000 	 1473.000000 	 0.012294 	 0.014413 	  0.012072 	 0.004764 	 0.034173 	 0.079604 	 0.010039 
320000000.000000 	 1473.000000 	 0.012607 	 0.014217 	  0.012368 	 0.004568 	 0.036119 	 0.083913 	 0.010058 
310000000.000000 	 1473.000000 	 0.012966 	 0.014021 	  0.012707 	 0.004372 	 0.038373 	 0.088874 	 0.010080 
300000000.000000 	 1473.000000 	 0.013343 	 0.013826 	  0.013062 	 0.004178 	 0.040847 	 0.094286 	 0.010104 
290000000.000000 	 1473.000000 	 0.013715 	 0.013636 	  0.013410 	 0.003987 	 0.043455 	 0.099949 	 0.010129 
280000000.000000 	 1473.000000 	 0.014060 	 0.013450 	  0.013731 	 0.003802 	 0.046115 	 0.105685 	 0.010155 
270000000.000000 	 1473.000000 	 0.014366 	 0.013271 	  0.014012 	 0.003623 	 0.048759 	 0.111347 	 0.010181 
260000000.000000 	 1473.000000 	 0.014621 	 0.013097 	  0.014242 	 0.003449 	 0.051333 	 0.116819 	 0.010207 
250000000.000000 	 1473.000000 	 0.014820 	 0.012930 	  0.014417 	 0.003282 	 0.053795 	 0.122018 	 0.010232 
240000000.000000 	 1473.000000 	 0.014959 	 0.012769 	  0.014533 	 0.003121 	 0.056116 	 0.126887 	 0.010255 
230000000.000000 	 1473.000000 	 0.015039 	 0.012613 	  0.014590 	 0.002965 	 0.058279 	 0.131398 	 0.010277 
220000000.000000 	 1473.000000 	 0.015060 	 0.012463 	  0.014590 	 0.002815 	 0.060275 	 0.135539 	 0.010298 
210000000.000000 	 1473.000000 	 0.015025 	 0.012318 	  0.014534 	 0.002670 	 0.062108 	 0.139321 	 0.010316 
200000000.000000 	 1473.000000 	 0.014937 	 0.012177 	  0.014427 	 0.002529 	 0.063783 	 0.142762 	 0.010334 
190000000.000000 	 1473.000000 	 0.014798 	 0.012041 	  0.014270 	 0.002392 	 0.065314 	 0.145893 	 0.010350 
180000000.000000 	 1473.000000 	 0.014613 	 0.011908 	  0.014067 	 0.002259 	 0.066715 	 0.148747 	 0.010364 
170000000.000000 	 1473.000000 	 0.014383 	 0.011779 	  0.013821 	 0.002129 	 0.068003 	 0.151362 	 0.010378 
160000000.000000 	 1473.000000 	 0.014112 	 0.011653 	  0.013534 	 0.002002 	 0.069194 	 0.153771 	 0.010390 
150000000.000000 	 1473.000000 	 0.013800 	 0.011529 	  0.013206 	 0.001878 	 0.070302 	 0.156007 	 0.010402 
140000000.000000 	 1473.000000 	 0.013447 	 0.011408 	  0.012838 	 0.001756 	 0.071341 	 0.158098 	 0.010413 
130000000.000000 	 1473.000000 	 0.013054 	 0.011289 	  0.012429 	 0.001637 	 0.072322 	 0.160066 	 0.010423 
120000000.000000 	 1473.000000 	 0.012618 	 0.011172 	  0.011979 	 0.001519 	 0.073253 	 0.161928 	 0.010433 
110000000.000000 	 1473.000000 	 0.012138 	 0.011057 	  0.011484 	 0.001403 	 0.074138 	 0.163697 	 0.010443 
100000000.000000 	 1473.000000 	 0.011609 	 0.010943 	  0.010940 	 0.001289 	 0.074982 	 0.165378 	 0.010452 
90000000.000000 	 1473.000000 	 0.011027 	 0.010831 	  0.010343 	 0.001175 	 0.075785 	 0.166973 	 0.010460 
80000000.000000 	 1473.000000 	 0.010385 	 0.010719 	  0.009685 	 0.001063 	 0.076545 	 0.168482 	 0.010469 
70000000.000000 	 1473.000000 	 0.009675 	 0.010608 	  0.008959 	 0.000951 	 0.077260 	 0.169897 	 0.010476 
60000000.000000 	 1473.000000 	 0.008884 	 0.010497 	  0.008153 	 0.000839 	 0.077923 	 0.171208 	 0.010484 
50000000.000000 	 1473.000000 	 0.007998 	 0.010385 	  0.007250 	 0.000726 	 0.078527 	 0.172399 	 0.010490 
40000000.000000 	 1473.000000 	 0.006996 	 0.010270 	  0.006231 	 0.000611 	 0.079061 	 0.173451 	 0.010496 
30000000.000000 	 1473.000000 	 0.005847 	 0.010151 	  0.005065 	 0.000491 	 0.079509 	 0.174335 	 0.010501 
20000000.000000 	 1473.000000 	 0.004504 	 0.010024 	  0.003704 	 0.000362 	 0.079852 	 0.175008 	 0.010505 
