weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070288 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011631 	 0.005512 	 0.030000 	 0.070288 	 0.010000 
360000000.000000 	 1473.000000 	 0.011662 	 0.014992 	  0.011476 	 0.005345 	 0.030000 	 0.070288 	 0.010000 
350000000.000000 	 1473.000000 	 0.011506 	 0.014829 	  0.011319 	 0.005181 	 0.030000 	 0.070288 	 0.010000 
340000000.000000 	 1473.000000 	 0.011347 	 0.014668 	  0.011159 	 0.005018 	 0.030001 	 0.070289 	 0.010000 
330000000.000000 	 1473.000000 	 0.011186 	 0.014508 	  0.010996 	 0.004857 	 0.030002 	 0.070291 	 0.010000 
320000000.000000 	 1473.000000 	 0.011022 	 0.014350 	  0.010830 	 0.004697 	 0.030004 	 0.070297 	 0.010000 
310000000.000000 	 1473.000000 	 0.010855 	 0.014194 	  0.010661 	 0.004539 	 0.030011 	 0.070312 	 0.010000 
300000000.000000 	 1473.000000 	 0.010686 	 0.014039 	  0.010491 	 0.004383 	 0.030024 	 0.070341 	 0.010000 
290000000.000000 	 1473.000000 	 0.010516 	 0.013885 	  0.010319 	 0.004228 	 0.030049 	 0.070397 	 0.010000 
280000000.000000 	 1473.000000 	 0.010347 	 0.013733 	  0.010148 	 0.004074 	 0.030092 	 0.070494 	 0.010001 
270000000.000000 	 1473.000000 	 0.010180 	 0.013582 	  0.009978 	 0.003922 	 0.030163 	 0.070654 	 0.010002 
260000000.000000 	 1473.000000 	 0.010016 	 0.013432 	  0.009812 	 0.003770 	 0.030273 	 0.070900 	 0.010003 
250000000.000000 	 1473.000000 	 0.009859 	 0.013283 	  0.009651 	 0.003619 	 0.030431 	 0.071255 	 0.010004 
240000000.000000 	 1473.000000 	 0.009708 	 0.013134 	  0.009496 	 0.003469 	 0.030649 	 0.071743 	 0.010006 
230000000.000000 	 1473.000000 	 0.009565 	 0.012986 	  0.009349 	 0.003320 	 0.030935 	 0.072384 	 0.010009 
220000000.000000 	 1473.000000 	 0.009429 	 0.012838 	  0.009208 	 0.003171 	 0.031295 	 0.073190 	 0.010012 
210000000.000000 	 1473.000000 	 0.009299 	 0.012691 	  0.009073 	 0.003023 	 0.031731 	 0.074166 	 0.010016 
200000000.000000 	 1473.000000 	 0.009174 	 0.012545 	  0.008940 	 0.002876 	 0.032244 	 0.075311 	 0.010021 
190000000.000000 	 1473.000000 	 0.009049 	 0.012400 	  0.008808 	 0.002729 	 0.032829 	 0.076615 	 0.010027 
180000000.000000 	 1473.000000 	 0.008921 	 0.012256 	  0.008672 	 0.002584 	 0.033479 	 0.078063 	 0.010033 
170000000.000000 	 1473.000000 	 0.008787 	 0.012113 	  0.008529 	 0.002441 	 0.034187 	 0.079635 	 0.010040 
160000000.000000 	 1473.000000 	 0.008642 	 0.011972 	  0.008375 	 0.002299 	 0.034942 	 0.081310 	 0.010048 
150000000.000000 	 1473.000000 	 0.008482 	 0.011833 	  0.008205 	 0.002159 	 0.035734 	 0.083063 	 0.010055 
140000000.000000 	 1473.000000 	 0.008302 	 0.011695 	  0.008015 	 0.002020 	 0.036553 	 0.084870 	 0.010063 
130000000.000000 	 1473.000000 	 0.008098 	 0.011560 	  0.007800 	 0.001884 	 0.037387 	 0.086708 	 0.010071 
120000000.000000 	 1473.000000 	 0.007867 	 0.011425 	  0.007557 	 0.001749 	 0.038226 	 0.088552 	 0.010080 
110000000.000000 	 1473.000000 	 0.007602 	 0.011293 	  0.007282 	 0.001615 	 0.039060 	 0.090381 	 0.010088 
100000000.000000 	 1473.000000 	 0.007301 	 0.011162 	  0.006969 	 0.001483 	 0.039880 	 0.092174 	 0.010096 
90000000.000000 	 1473.000000 	 0.006958 	 0.011032 	  0.006614 	 0.001353 	 0.040675 	 0.093910 	 0.010104 
80000000.000000 	 1473.000000 	 0.006568 	 0.010903 	  0.006212 	 0.001223 	 0.041437 	 0.095569 	 0.010112 
70000000.000000 	 1473.000000 	 0.006124 	 0.010775 	  0.005756 	 0.001093 	 0.042155 	 0.097132 	 0.010119 
60000000.000000 	 1473.000000 	 0.005619 	 0.010646 	  0.005238 	 0.000964 	 0.042821 	 0.098576 	 0.010126 
50000000.000000 	 1473.000000 	 0.005043 	 0.010516 	  0.004650 	 0.000832 	 0.043423 	 0.099881 	 0.010132 
40000000.000000 	 1473.000000 	 0.004384 	 0.010383 	  0.003979 	 0.000698 	 0.043949 	 0.101019 	 0.010137 
30000000.000000 	 1473.000000 	 0.003626 	 0.010244 	  0.003208 	 0.000558 	 0.044385 	 0.101959 	 0.010142 
20000000.000000 	 1473.000000 	 0.002745 	 0.010096 	  0.002315 	 0.000409 	 0.044709 	 0.102659 	 0.010145 
