weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030001 	 0.070289 	 0.010000 
390000000.000000 	 1473.000000 	 0.012115 	 0.015492 	  0.011934 	 0.005850 	 0.030007 	 0.070302 	 0.010000 
380000000.000000 	 1473.000000 	 0.011975 	 0.015322 	  0.011793 	 0.005679 	 0.030035 	 0.070366 	 0.010000 
370000000.000000 	 1473.000000 	 0.011850 	 0.015153 	  0.011666 	 0.005509 	 0.030126 	 0.070569 	 0.010001 
360000000.000000 	 1473.000000 	 0.011759 	 0.014983 	  0.011571 	 0.005337 	 0.030346 	 0.071064 	 0.010003 
350000000.000000 	 1473.000000 	 0.011723 	 0.014809 	  0.011530 	 0.005162 	 0.030780 	 0.072036 	 0.010007 
340000000.000000 	 1473.000000 	 0.011759 	 0.014631 	  0.011559 	 0.004983 	 0.031505 	 0.073659 	 0.010014 
330000000.000000 	 1473.000000 	 0.011875 	 0.014448 	  0.011666 	 0.004799 	 0.032570 	 0.076039 	 0.010024 
320000000.000000 	 1473.000000 	 0.012067 	 0.014261 	  0.011845 	 0.004611 	 0.033986 	 0.079189 	 0.010038 
310000000.000000 	 1473.000000 	 0.012319 	 0.014072 	  0.012081 	 0.004422 	 0.035724 	 0.083040 	 0.010054 
300000000.000000 	 1473.000000 	 0.012611 	 0.013883 	  0.012355 	 0.004232 	 0.037730 	 0.087463 	 0.010073 
290000000.000000 	 1473.000000 	 0.012921 	 0.013695 	  0.012645 	 0.004044 	 0.039940 	 0.092306 	 0.010095 
280000000.000000 	 1473.000000 	 0.013228 	 0.013510 	  0.012931 	 0.003860 	 0.042284 	 0.097411 	 0.010118 
270000000.000000 	 1473.000000 	 0.013517 	 0.013330 	  0.013198 	 0.003679 	 0.044697 	 0.102634 	 0.010141 
260000000.000000 	 1473.000000 	 0.013775 	 0.013155 	  0.013432 	 0.003504 	 0.047124 	 0.107851 	 0.010165 
250000000.000000 	 1473.000000 	 0.013992 	 0.012985 	  0.013626 	 0.003334 	 0.049517 	 0.112962 	 0.010189 
240000000.000000 	 1473.000000 	 0.014161 	 0.012820 	  0.013772 	 0.003170 	 0.051839 	 0.117889 	 0.010212 
230000000.000000 	 1473.000000 	 0.014279 	 0.012661 	  0.013868 	 0.003010 	 0.054060 	 0.122575 	 0.010235 
220000000.000000 	 1473.000000 	 0.014345 	 0.012507 	  0.013912 	 0.002856 	 0.056162 	 0.126983 	 0.010256 
210000000.000000 	 1473.000000 	 0.014357 	 0.012358 	  0.013903 	 0.002707 	 0.058132 	 0.131092 	 0.010276 
200000000.000000 	 1473.000000 	 0.014317 	 0.012214 	  0.013842 	 0.002563 	 0.059964 	 0.134896 	 0.010295 
190000000.000000 	 1473.000000 	 0.014225 	 0.012074 	  0.013731 	 0.002423 	 0.061660 	 0.138398 	 0.010312 
180000000.000000 	 1473.000000 	 0.014084 	 0.011939 	  0.013571 	 0.002287 	 0.063224 	 0.141614 	 0.010329 
170000000.000000 	 1473.000000 	 0.013894 	 0.011807 	  0.013364 	 0.002154 	 0.064662 	 0.144561 	 0.010343 
160000000.000000 	 1473.000000 	 0.013659 	 0.011678 	  0.013111 	 0.002025 	 0.065987 	 0.147264 	 0.010357 
150000000.000000 	 1473.000000 	 0.013378 	 0.011552 	  0.012814 	 0.001899 	 0.067207 	 0.149747 	 0.010370 
140000000.000000 	 1473.000000 	 0.013053 	 0.011429 	  0.012473 	 0.001775 	 0.068335 	 0.152034 	 0.010382 
130000000.000000 	 1473.000000 	 0.012683 	 0.011308 	  0.012088 	 0.001654 	 0.069381 	 0.154149 	 0.010393 
120000000.000000 	 1473.000000 	 0.012268 	 0.011190 	  0.011658 	 0.001535 	 0.070353 	 0.156111 	 0.010403 
110000000.000000 	 1473.000000 	 0.011806 	 0.011074 	  0.011181 	 0.001418 	 0.071261 	 0.157937 	 0.010413 
100000000.000000 	 1473.000000 	 0.011294 	 0.010959 	  0.010654 	 0.001302 	 0.072109 	 0.159639 	 0.010422 
90000000.000000 	 1473.000000 	 0.010728 	 0.010845 	  0.010072 	 0.001188 	 0.072901 	 0.161225 	 0.010430 
80000000.000000 	 1473.000000 	 0.010101 	 0.010733 	  0.009431 	 0.001074 	 0.073639 	 0.162701 	 0.010438 
70000000.000000 	 1473.000000 	 0.009407 	 0.010621 	  0.008721 	 0.000961 	 0.074323 	 0.164065 	 0.010446 
60000000.000000 	 1473.000000 	 0.008633 	 0.010508 	  0.007933 	 0.000848 	 0.074950 	 0.165313 	 0.010452 
50000000.000000 	 1473.000000 	 0.007767 	 0.010395 	  0.007051 	 0.000734 	 0.075515 	 0.166437 	 0.010459 
40000000.000000 	 1473.000000 	 0.006788 	 0.010279 	  0.006056 	 0.000617 	 0.076010 	 0.167420 	 0.010464 
30000000.000000 	 1473.000000 	 0.005666 	 0.010159 	  0.004918 	 0.000496 	 0.076423 	 0.168240 	 0.010468 
20000000.000000 	 1473.000000 	 0.004358 	 0.010030 	  0.003592 	 0.000366 	 0.076737 	 0.168862 	 0.010472 
