weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070288 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011631 	 0.005512 	 0.030000 	 0.070288 	 0.010000 
360000000.000000 	 1473.000000 	 0.011662 	 0.014992 	  0.011476 	 0.005345 	 0.030000 	 0.070288 	 0.010000 
350000000.000000 	 1473.000000 	 0.011506 	 0.014829 	  0.011319 	 0.005181 	 0.030000 	 0.070288 	 0.010000 
340000000.000000 	 1473.000000 	 0.011347 	 0.014668 	  0.011159 	 0.005018 	 0.030000 	 0.070288 	 0.010000 
330000000.000000 	 1473.000000 	 0.011185 	 0.014508 	  0.010995 	 0.004857 	 0.030000 	 0.070288 	 0.010000 
320000000.000000 	 1473.000000 	 0.011021 	 0.014350 	  0.010829 	 0.004697 	 0.030000 	 0.070288 	 0.010000 
310000000.000000 	 1473.000000 	 0.010852 	 0.014194 	  0.010659 	 0.004539 	 0.030000 	 0.070288 	 0.010000 
300000000.000000 	 1473.000000 	 0.010680 	 0.014039 	  0.010485 	 0.004383 	 0.030000 	 0.070288 	 0.010000 
290000000.000000 	 1473.000000 	 0.010504 	 0.013886 	  0.010307 	 0.004229 	 0.030000 	 0.070288 	 0.010000 
280000000.000000 	 1473.000000 	 0.010324 	 0.013735 	  0.010125 	 0.004076 	 0.030001 	 0.070289 	 0.010000 
270000000.000000 	 1473.000000 	 0.010139 	 0.013585 	  0.009939 	 0.003925 	 0.030001 	 0.070290 	 0.010000 
260000000.000000 	 1473.000000 	 0.009950 	 0.013437 	  0.009747 	 0.003775 	 0.030002 	 0.070293 	 0.010000 
250000000.000000 	 1473.000000 	 0.009756 	 0.013291 	  0.009551 	 0.003627 	 0.030005 	 0.070299 	 0.010000 
240000000.000000 	 1473.000000 	 0.009557 	 0.013145 	  0.009350 	 0.003480 	 0.030009 	 0.070308 	 0.010000 
230000000.000000 	 1473.000000 	 0.009352 	 0.013002 	  0.009144 	 0.003335 	 0.030016 	 0.070325 	 0.010000 
220000000.000000 	 1473.000000 	 0.009143 	 0.012859 	  0.008932 	 0.003191 	 0.030028 	 0.070351 	 0.010000 
210000000.000000 	 1473.000000 	 0.008927 	 0.012718 	  0.008714 	 0.003048 	 0.030046 	 0.070391 	 0.010000 
200000000.000000 	 1473.000000 	 0.008706 	 0.012578 	  0.008490 	 0.002907 	 0.030072 	 0.070450 	 0.010001 
190000000.000000 	 1473.000000 	 0.008479 	 0.012439 	  0.008261 	 0.002767 	 0.030109 	 0.070533 	 0.010001 
180000000.000000 	 1473.000000 	 0.008246 	 0.012302 	  0.008025 	 0.002628 	 0.030160 	 0.070646 	 0.010002 
170000000.000000 	 1473.000000 	 0.008006 	 0.012165 	  0.007782 	 0.002490 	 0.030226 	 0.070795 	 0.010002 
160000000.000000 	 1473.000000 	 0.007759 	 0.012029 	  0.007531 	 0.002353 	 0.030311 	 0.070985 	 0.010003 
150000000.000000 	 1473.000000 	 0.007503 	 0.011894 	  0.007271 	 0.002217 	 0.030415 	 0.071219 	 0.010004 
140000000.000000 	 1473.000000 	 0.007237 	 0.011760 	  0.007002 	 0.002082 	 0.030540 	 0.071499 	 0.010005 
130000000.000000 	 1473.000000 	 0.006960 	 0.011627 	  0.006720 	 0.001947 	 0.030686 	 0.071826 	 0.010007 
120000000.000000 	 1473.000000 	 0.006669 	 0.011494 	  0.006425 	 0.001813 	 0.030852 	 0.072199 	 0.010008 
110000000.000000 	 1473.000000 	 0.006362 	 0.011362 	  0.006112 	 0.001680 	 0.031036 	 0.072612 	 0.010010 
100000000.000000 	 1473.000000 	 0.006035 	 0.011230 	  0.005780 	 0.001547 	 0.031236 	 0.073059 	 0.010012 
90000000.000000 	 1473.000000 	 0.005685 	 0.011099 	  0.005424 	 0.001414 	 0.031448 	 0.073534 	 0.010014 
80000000.000000 	 1473.000000 	 0.005307 	 0.010967 	  0.005040 	 0.001281 	 0.031668 	 0.074024 	 0.010016 
70000000.000000 	 1473.000000 	 0.004897 	 0.010834 	  0.004623 	 0.001147 	 0.031889 	 0.074518 	 0.010018 
60000000.000000 	 1473.000000 	 0.004447 	 0.010701 	  0.004167 	 0.001012 	 0.032106 	 0.075002 	 0.010020 
50000000.000000 	 1473.000000 	 0.003952 	 0.010564 	  0.003665 	 0.000875 	 0.032311 	 0.075460 	 0.010023 
40000000.000000 	 1473.000000 	 0.003401 	 0.010425 	  0.003106 	 0.000733 	 0.032497 	 0.075876 	 0.010024 
30000000.000000 	 1473.000000 	 0.002783 	 0.010279 	  0.002480 	 0.000586 	 0.032655 	 0.076227 	 0.010026 
20000000.000000 	 1473.000000 	 0.002082 	 0.010122 	  0.001771 	 0.000428 	 0.032774 	 0.076492 	 0.010027 
