weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070288 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011631 	 0.005512 	 0.030000 	 0.070288 	 0.010000 
360000000.000000 	 1473.000000 	 0.011662 	 0.014992 	  0.011477 	 0.005345 	 0.030001 	 0.070290 	 0.010000 
350000000.000000 	 1473.000000 	 0.011507 	 0.014829 	  0.011320 	 0.005181 	 0.030004 	 0.070298 	 0.010000 
340000000.000000 	 1473.000000 	 0.011351 	 0.014667 	  0.011162 	 0.005017 	 0.030013 	 0.070317 	 0.010000 
330000000.000000 	 1473.000000 	 0.011195 	 0.014507 	  0.011004 	 0.004856 	 0.030034 	 0.070364 	 0.010000 
320000000.000000 	 1473.000000 	 0.011041 	 0.014348 	  0.010849 	 0.004695 	 0.030077 	 0.070461 	 0.010001 
310000000.000000 	 1473.000000 	 0.010894 	 0.014190 	  0.010700 	 0.004536 	 0.030159 	 0.070644 	 0.010001 
300000000.000000 	 1473.000000 	 0.010758 	 0.014033 	  0.010560 	 0.004377 	 0.030298 	 0.070956 	 0.010003 
290000000.000000 	 1473.000000 	 0.010636 	 0.013875 	  0.010436 	 0.004218 	 0.030515 	 0.071444 	 0.010005 
280000000.000000 	 1473.000000 	 0.010534 	 0.013718 	  0.010329 	 0.004059 	 0.030833 	 0.072156 	 0.010008 
270000000.000000 	 1473.000000 	 0.010453 	 0.013560 	  0.010243 	 0.003900 	 0.031268 	 0.073129 	 0.010012 
260000000.000000 	 1473.000000 	 0.010394 	 0.013402 	  0.010177 	 0.003741 	 0.031829 	 0.074385 	 0.010017 
250000000.000000 	 1473.000000 	 0.010354 	 0.013244 	  0.010130 	 0.003582 	 0.032522 	 0.075931 	 0.010024 
240000000.000000 	 1473.000000 	 0.010331 	 0.013087 	  0.010098 	 0.003424 	 0.033342 	 0.077757 	 0.010032 
230000000.000000 	 1473.000000 	 0.010319 	 0.012930 	  0.010076 	 0.003266 	 0.034279 	 0.079839 	 0.010041 
220000000.000000 	 1473.000000 	 0.010311 	 0.012774 	  0.010057 	 0.003110 	 0.035319 	 0.082145 	 0.010051 
210000000.000000 	 1473.000000 	 0.010302 	 0.012621 	  0.010036 	 0.002955 	 0.036446 	 0.084635 	 0.010062 
200000000.000000 	 1473.000000 	 0.010286 	 0.012469 	  0.010008 	 0.002803 	 0.037642 	 0.087268 	 0.010073 
190000000.000000 	 1473.000000 	 0.010256 	 0.012319 	  0.009965 	 0.002653 	 0.038888 	 0.090004 	 0.010086 
180000000.000000 	 1473.000000 	 0.010208 	 0.012172 	  0.009903 	 0.002505 	 0.040168 	 0.092805 	 0.010098 
170000000.000000 	 1473.000000 	 0.010137 	 0.012028 	  0.009817 	 0.002360 	 0.041466 	 0.095634 	 0.010111 
160000000.000000 	 1473.000000 	 0.010038 	 0.011886 	  0.009703 	 0.002218 	 0.042767 	 0.098460 	 0.010124 
150000000.000000 	 1473.000000 	 0.009908 	 0.011747 	  0.009558 	 0.002078 	 0.044058 	 0.101254 	 0.010137 
140000000.000000 	 1473.000000 	 0.009742 	 0.011611 	  0.009377 	 0.001942 	 0.045328 	 0.103993 	 0.010149 
130000000.000000 	 1473.000000 	 0.009538 	 0.011478 	  0.009158 	 0.001807 	 0.046566 	 0.106654 	 0.010162 
120000000.000000 	 1473.000000 	 0.009293 	 0.011347 	  0.008897 	 0.001676 	 0.047764 	 0.109220 	 0.010174 
110000000.000000 	 1473.000000 	 0.009002 	 0.011218 	  0.008591 	 0.001546 	 0.048913 	 0.111675 	 0.010185 
100000000.000000 	 1473.000000 	 0.008662 	 0.011091 	  0.008237 	 0.001419 	 0.050007 	 0.114004 	 0.010197 
90000000.000000 	 1473.000000 	 0.008269 	 0.010966 	  0.007828 	 0.001293 	 0.051039 	 0.116195 	 0.010207 
80000000.000000 	 1473.000000 	 0.007818 	 0.010842 	  0.007362 	 0.001168 	 0.052003 	 0.118237 	 0.010217 
70000000.000000 	 1473.000000 	 0.007301 	 0.010719 	  0.006830 	 0.001044 	 0.052893 	 0.120117 	 0.010226 
60000000.000000 	 1473.000000 	 0.006712 	 0.010596 	  0.006226 	 0.000920 	 0.053702 	 0.121822 	 0.010234 
50000000.000000 	 1473.000000 	 0.006039 	 0.010472 	  0.005538 	 0.000795 	 0.054422 	 0.123337 	 0.010242 
40000000.000000 	 1473.000000 	 0.005267 	 0.010345 	  0.004751 	 0.000668 	 0.055045 	 0.124644 	 0.010248 
30000000.000000 	 1473.000000 	 0.004376 	 0.010213 	  0.003846 	 0.000535 	 0.055556 	 0.125715 	 0.010254 
20000000.000000 	 1473.000000 	 0.003335 	 0.010073 	  0.002790 	 0.000393 	 0.055937 	 0.126512 	 0.010258 
