weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070288 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011631 	 0.005512 	 0.030000 	 0.070288 	 0.010000 
360000000.000000 	 1473.000000 	 0.011662 	 0.014992 	  0.011477 	 0.005345 	 0.030001 	 0.070290 	 0.010000 
350000000.000000 	 1473.000000 	 0.011507 	 0.014829 	  0.011320 	 0.005181 	 0.030004 	 0.070297 	 0.010000 
340000000.000000 	 1473.000000 	 0.011351 	 0.014667 	  0.011162 	 0.005017 	 0.030012 	 0.070315 	 0.010000 
330000000.000000 	 1473.000000 	 0.011194 	 0.014507 	  0.011004 	 0.004856 	 0.030032 	 0.070359 	 0.010000 
320000000.000000 	 1473.000000 	 0.011040 	 0.014348 	  0.010848 	 0.004695 	 0.030072 	 0.070450 	 0.010001 
310000000.000000 	 1473.000000 	 0.010892 	 0.014191 	  0.010697 	 0.004536 	 0.030149 	 0.070623 	 0.010001 
300000000.000000 	 1473.000000 	 0.010753 	 0.014033 	  0.010556 	 0.004377 	 0.030281 	 0.070918 	 0.010003 
290000000.000000 	 1473.000000 	 0.010630 	 0.013876 	  0.010429 	 0.004219 	 0.030489 	 0.071385 	 0.010005 
280000000.000000 	 1473.000000 	 0.010524 	 0.013719 	  0.010319 	 0.004060 	 0.030794 	 0.072068 	 0.010007 
270000000.000000 	 1473.000000 	 0.010440 	 0.013561 	  0.010229 	 0.003901 	 0.031212 	 0.073005 	 0.010011 
260000000.000000 	 1473.000000 	 0.010376 	 0.013404 	  0.010160 	 0.003743 	 0.031755 	 0.074220 	 0.010017 
250000000.000000 	 1473.000000 	 0.010332 	 0.013246 	  0.010109 	 0.003584 	 0.032428 	 0.075722 	 0.010023 
240000000.000000 	 1473.000000 	 0.010305 	 0.013089 	  0.010073 	 0.003426 	 0.033227 	 0.077501 	 0.010031 
230000000.000000 	 1473.000000 	 0.010288 	 0.012932 	  0.010047 	 0.003268 	 0.034143 	 0.079537 	 0.010039 
220000000.000000 	 1473.000000 	 0.010277 	 0.012777 	  0.010025 	 0.003112 	 0.035162 	 0.081798 	 0.010049 
210000000.000000 	 1473.000000 	 0.010266 	 0.012623 	  0.010001 	 0.002958 	 0.036269 	 0.084245 	 0.010060 
200000000.000000 	 1473.000000 	 0.010247 	 0.012471 	  0.009970 	 0.002805 	 0.037447 	 0.086839 	 0.010071 
190000000.000000 	 1473.000000 	 0.010215 	 0.012322 	  0.009926 	 0.002655 	 0.038676 	 0.089539 	 0.010083 
180000000.000000 	 1473.000000 	 0.010166 	 0.012175 	  0.009862 	 0.002507 	 0.039941 	 0.092308 	 0.010096 
170000000.000000 	 1473.000000 	 0.010094 	 0.012030 	  0.009776 	 0.002363 	 0.041225 	 0.095109 	 0.010109 
160000000.000000 	 1473.000000 	 0.009994 	 0.011889 	  0.009662 	 0.002220 	 0.042514 	 0.097910 	 0.010121 
150000000.000000 	 1473.000000 	 0.009864 	 0.011750 	  0.009517 	 0.002081 	 0.043794 	 0.100684 	 0.010134 
140000000.000000 	 1473.000000 	 0.009699 	 0.011614 	  0.009337 	 0.001944 	 0.045055 	 0.103405 	 0.010147 
130000000.000000 	 1473.000000 	 0.009496 	 0.011480 	  0.009118 	 0.001810 	 0.046286 	 0.106052 	 0.010159 
120000000.000000 	 1473.000000 	 0.009252 	 0.011349 	  0.008859 	 0.001678 	 0.047477 	 0.108607 	 0.010171 
110000000.000000 	 1473.000000 	 0.008962 	 0.011220 	  0.008554 	 0.001548 	 0.048621 	 0.111052 	 0.010183 
100000000.000000 	 1473.000000 	 0.008624 	 0.011093 	  0.008201 	 0.001421 	 0.049711 	 0.113375 	 0.010194 
90000000.000000 	 1473.000000 	 0.008233 	 0.010968 	  0.007795 	 0.001294 	 0.050740 	 0.115561 	 0.010204 
80000000.000000 	 1473.000000 	 0.007784 	 0.010844 	  0.007330 	 0.001170 	 0.051702 	 0.117599 	 0.010214 
70000000.000000 	 1473.000000 	 0.007270 	 0.010720 	  0.006801 	 0.001046 	 0.052590 	 0.119477 	 0.010223 
60000000.000000 	 1473.000000 	 0.006683 	 0.010597 	  0.006200 	 0.000921 	 0.053398 	 0.121181 	 0.010231 
50000000.000000 	 1473.000000 	 0.006012 	 0.010473 	  0.005514 	 0.000796 	 0.054118 	 0.122696 	 0.010239 
40000000.000000 	 1473.000000 	 0.005243 	 0.010346 	  0.004731 	 0.000668 	 0.054740 	 0.124003 	 0.010245 
30000000.000000 	 1473.000000 	 0.004356 	 0.010214 	  0.003829 	 0.000535 	 0.055251 	 0.125075 	 0.010251 
20000000.000000 	 1473.000000 	 0.003320 	 0.010073 	  0.002778 	 0.000393 	 0.055631 	 0.125872 	 0.010255 
