weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070288 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011631 	 0.005512 	 0.030000 	 0.070288 	 0.010000 
360000000.000000 	 1473.000000 	 0.011662 	 0.014992 	  0.011477 	 0.005345 	 0.030001 	 0.070290 	 0.010000 
350000000.000000 	 1473.000000 	 0.011507 	 0.014829 	  0.011320 	 0.005181 	 0.030004 	 0.070296 	 0.010000 
340000000.000000 	 1473.000000 	 0.011350 	 0.014667 	  0.011162 	 0.005017 	 0.030011 	 0.070312 	 0.010000 
330000000.000000 	 1473.000000 	 0.011193 	 0.014507 	  0.011003 	 0.004856 	 0.030029 	 0.070352 	 0.010000 
320000000.000000 	 1473.000000 	 0.011038 	 0.014349 	  0.010846 	 0.004696 	 0.030066 	 0.070436 	 0.010001 
310000000.000000 	 1473.000000 	 0.010889 	 0.014191 	  0.010694 	 0.004536 	 0.030137 	 0.070596 	 0.010001 
300000000.000000 	 1473.000000 	 0.010748 	 0.014034 	  0.010551 	 0.004378 	 0.030260 	 0.070872 	 0.010002 
290000000.000000 	 1473.000000 	 0.010621 	 0.013877 	  0.010421 	 0.004219 	 0.030456 	 0.071310 	 0.010004 
280000000.000000 	 1473.000000 	 0.010512 	 0.013720 	  0.010307 	 0.004061 	 0.030743 	 0.071955 	 0.010007 
270000000.000000 	 1473.000000 	 0.010422 	 0.013563 	  0.010213 	 0.003903 	 0.031141 	 0.072846 	 0.010011 
260000000.000000 	 1473.000000 	 0.010353 	 0.013405 	  0.010138 	 0.003744 	 0.031661 	 0.074008 	 0.010016 
250000000.000000 	 1473.000000 	 0.010304 	 0.013248 	  0.010081 	 0.003586 	 0.032307 	 0.075452 	 0.010022 
240000000.000000 	 1473.000000 	 0.010271 	 0.013091 	  0.010040 	 0.003428 	 0.033078 	 0.077171 	 0.010029 
230000000.000000 	 1473.000000 	 0.010249 	 0.012935 	  0.010009 	 0.003271 	 0.033966 	 0.079146 	 0.010038 
220000000.000000 	 1473.000000 	 0.010234 	 0.012780 	  0.009983 	 0.003115 	 0.034959 	 0.081347 	 0.010047 
210000000.000000 	 1473.000000 	 0.010218 	 0.012626 	  0.009956 	 0.002961 	 0.036040 	 0.083738 	 0.010058 
200000000.000000 	 1473.000000 	 0.010196 	 0.012475 	  0.009921 	 0.002808 	 0.037192 	 0.086279 	 0.010069 
190000000.000000 	 1473.000000 	 0.010162 	 0.012325 	  0.009874 	 0.002658 	 0.038399 	 0.088931 	 0.010081 
180000000.000000 	 1473.000000 	 0.010110 	 0.012178 	  0.009809 	 0.002511 	 0.039643 	 0.091656 	 0.010093 
170000000.000000 	 1473.000000 	 0.010037 	 0.012034 	  0.009722 	 0.002366 	 0.040908 	 0.094419 	 0.010105 
160000000.000000 	 1473.000000 	 0.009937 	 0.011892 	  0.009607 	 0.002224 	 0.042181 	 0.097187 	 0.010118 
150000000.000000 	 1473.000000 	 0.009807 	 0.011753 	  0.009462 	 0.002084 	 0.043447 	 0.099933 	 0.010131 
140000000.000000 	 1473.000000 	 0.009642 	 0.011617 	  0.009283 	 0.001947 	 0.044696 	 0.102630 	 0.010143 
130000000.000000 	 1473.000000 	 0.009440 	 0.011483 	  0.009066 	 0.001813 	 0.045916 	 0.105257 	 0.010155 
120000000.000000 	 1473.000000 	 0.009197 	 0.011352 	  0.008808 	 0.001681 	 0.047098 	 0.107796 	 0.010167 
110000000.000000 	 1473.000000 	 0.008910 	 0.011223 	  0.008505 	 0.001551 	 0.048235 	 0.110229 	 0.010179 
100000000.000000 	 1473.000000 	 0.008574 	 0.011096 	  0.008154 	 0.001423 	 0.049320 	 0.112542 	 0.010190 
90000000.000000 	 1473.000000 	 0.008185 	 0.010970 	  0.007750 	 0.001297 	 0.050344 	 0.114721 	 0.010200 
80000000.000000 	 1473.000000 	 0.007738 	 0.010846 	  0.007289 	 0.001172 	 0.051302 	 0.116754 	 0.010210 
70000000.000000 	 1473.000000 	 0.007227 	 0.010722 	  0.006763 	 0.001047 	 0.052188 	 0.118629 	 0.010219 
60000000.000000 	 1473.000000 	 0.006643 	 0.010599 	  0.006165 	 0.000923 	 0.052994 	 0.120331 	 0.010227 
50000000.000000 	 1473.000000 	 0.005977 	 0.010474 	  0.005483 	 0.000798 	 0.053713 	 0.121845 	 0.010235 
40000000.000000 	 1473.000000 	 0.005212 	 0.010347 	  0.004704 	 0.000669 	 0.054334 	 0.123152 	 0.010241 
30000000.000000 	 1473.000000 	 0.004329 	 0.010215 	  0.003807 	 0.000536 	 0.054845 	 0.124224 	 0.010246 
20000000.000000 	 1473.000000 	 0.003299 	 0.010074 	  0.002761 	 0.000394 	 0.055225 	 0.125022 	 0.010250 
