weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012113 	 0.015492 	  0.011932 	 0.005850 	 0.030000 	 0.070288 	 0.010000 
380000000.000000 	 1473.000000 	 0.011965 	 0.015323 	  0.011783 	 0.005680 	 0.030000 	 0.070289 	 0.010000 
370000000.000000 	 1473.000000 	 0.011815 	 0.015157 	  0.011632 	 0.005512 	 0.030002 	 0.070293 	 0.010000 
360000000.000000 	 1473.000000 	 0.011664 	 0.014992 	  0.011479 	 0.005345 	 0.030009 	 0.070308 	 0.010000 
350000000.000000 	 1473.000000 	 0.011514 	 0.014828 	  0.011327 	 0.005180 	 0.030029 	 0.070352 	 0.010000 
340000000.000000 	 1473.000000 	 0.011368 	 0.014666 	  0.011179 	 0.005016 	 0.030075 	 0.070456 	 0.010001 
330000000.000000 	 1473.000000 	 0.011232 	 0.014504 	  0.011041 	 0.004853 	 0.030171 	 0.070671 	 0.010002 
320000000.000000 	 1473.000000 	 0.011113 	 0.014342 	  0.010919 	 0.004689 	 0.030345 	 0.071061 	 0.010003 
310000000.000000 	 1473.000000 	 0.011019 	 0.014180 	  0.010820 	 0.004526 	 0.030630 	 0.071701 	 0.010006 
300000000.000000 	 1473.000000 	 0.010955 	 0.014016 	  0.010752 	 0.004361 	 0.031057 	 0.072658 	 0.010010 
290000000.000000 	 1473.000000 	 0.010925 	 0.013852 	  0.010715 	 0.004195 	 0.031649 	 0.073983 	 0.010016 
280000000.000000 	 1473.000000 	 0.010929 	 0.013686 	  0.010711 	 0.004029 	 0.032419 	 0.075700 	 0.010023 
270000000.000000 	 1473.000000 	 0.010962 	 0.013520 	  0.010735 	 0.003862 	 0.033364 	 0.077807 	 0.010032 
260000000.000000 	 1473.000000 	 0.011019 	 0.013354 	  0.010782 	 0.003695 	 0.034475 	 0.080275 	 0.010043 
250000000.000000 	 1473.000000 	 0.011092 	 0.013189 	  0.010842 	 0.003529 	 0.035733 	 0.083060 	 0.010055 
240000000.000000 	 1473.000000 	 0.011171 	 0.013025 	  0.010907 	 0.003365 	 0.037113 	 0.086104 	 0.010068 
230000000.000000 	 1473.000000 	 0.011248 	 0.012864 	  0.010970 	 0.003203 	 0.038588 	 0.089347 	 0.010082 
220000000.000000 	 1473.000000 	 0.011315 	 0.012705 	  0.011021 	 0.003043 	 0.040134 	 0.092730 	 0.010097 
210000000.000000 	 1473.000000 	 0.011365 	 0.012549 	  0.011055 	 0.002887 	 0.041725 	 0.096196 	 0.010113 
200000000.000000 	 1473.000000 	 0.011393 	 0.012396 	  0.011066 	 0.002733 	 0.043338 	 0.099696 	 0.010129 
190000000.000000 	 1473.000000 	 0.011392 	 0.012246 	  0.011048 	 0.002584 	 0.044953 	 0.103186 	 0.010145 
180000000.000000 	 1473.000000 	 0.011359 	 0.012100 	  0.010997 	 0.002437 	 0.046553 	 0.106627 	 0.010161 
170000000.000000 	 1473.000000 	 0.011290 	 0.011957 	  0.010911 	 0.002294 	 0.048124 	 0.109990 	 0.010177 
160000000.000000 	 1473.000000 	 0.011183 	 0.011818 	  0.010787 	 0.002154 	 0.049652 	 0.113249 	 0.010192 
150000000.000000 	 1473.000000 	 0.011035 	 0.011682 	  0.010622 	 0.002018 	 0.051128 	 0.116383 	 0.010207 
140000000.000000 	 1473.000000 	 0.010844 	 0.011549 	  0.010413 	 0.001884 	 0.052543 	 0.119378 	 0.010221 
130000000.000000 	 1473.000000 	 0.010607 	 0.011419 	  0.010160 	 0.001753 	 0.053891 	 0.122219 	 0.010235 
120000000.000000 	 1473.000000 	 0.010323 	 0.011291 	  0.009858 	 0.001625 	 0.055167 	 0.124900 	 0.010248 
110000000.000000 	 1473.000000 	 0.009988 	 0.011166 	  0.009507 	 0.001500 	 0.056368 	 0.127413 	 0.010260 
100000000.000000 	 1473.000000 	 0.009599 	 0.011043 	  0.009102 	 0.001376 	 0.057489 	 0.129754 	 0.010272 
90000000.000000 	 1473.000000 	 0.009153 	 0.010922 	  0.008640 	 0.001254 	 0.058530 	 0.131920 	 0.010283 
80000000.000000 	 1473.000000 	 0.008645 	 0.010802 	  0.008116 	 0.001133 	 0.059487 	 0.133907 	 0.010293 
70000000.000000 	 1473.000000 	 0.008068 	 0.010683 	  0.007523 	 0.001013 	 0.060359 	 0.135712 	 0.010302 
60000000.000000 	 1473.000000 	 0.007413 	 0.010564 	  0.006854 	 0.000893 	 0.061142 	 0.137330 	 0.010310 
50000000.000000 	 1473.000000 	 0.006670 	 0.010444 	  0.006095 	 0.000772 	 0.061833 	 0.138755 	 0.010317 
40000000.000000 	 1473.000000 	 0.005822 	 0.010321 	  0.005232 	 0.000649 	 0.062426 	 0.139975 	 0.010324 
30000000.000000 	 1473.000000 	 0.004846 	 0.010194 	  0.004240 	 0.000520 	 0.062910 	 0.140971 	 0.010329 
20000000.000000 	 1473.000000 	 0.003705 	 0.010057 	  0.003084 	 0.000383 	 0.063271 	 0.141710 	 0.010332 
