weight fractions unless otherwise noted
pressure 	 temperature 	 water 	 CO2 	 dissolved h2o onliq 	 dissolved co2 onliq 	 exsolved h2o ongas 	 exsolved h2o ongas mol 	 gas_ontotal
400000000.000000 	 1473.000000 	 0.012259 	 0.015662 	  0.012080 	 0.006022 	 0.030000 	 0.070288 	 0.010000 
390000000.000000 	 1473.000000 	 0.012114 	 0.015492 	  0.011933 	 0.005850 	 0.030001 	 0.070291 	 0.010000 
380000000.000000 	 1473.000000 	 0.011968 	 0.015323 	  0.011785 	 0.005680 	 0.030009 	 0.070307 	 0.010000 
370000000.000000 	 1473.000000 	 0.011825 	 0.015156 	  0.011641 	 0.005511 	 0.030035 	 0.070366 	 0.010000 
360000000.000000 	 1473.000000 	 0.011692 	 0.014989 	  0.011506 	 0.005343 	 0.030109 	 0.070532 	 0.010001 
350000000.000000 	 1473.000000 	 0.011583 	 0.014822 	  0.011394 	 0.005174 	 0.030276 	 0.070906 	 0.010003 
340000000.000000 	 1473.000000 	 0.011510 	 0.014653 	  0.011318 	 0.005004 	 0.030593 	 0.071619 	 0.010006 
330000000.000000 	 1473.000000 	 0.011489 	 0.014482 	  0.011290 	 0.004831 	 0.031120 	 0.072799 	 0.010011 
320000000.000000 	 1473.000000 	 0.011526 	 0.014307 	  0.011320 	 0.004655 	 0.031900 	 0.074544 	 0.010018 
310000000.000000 	 1473.000000 	 0.011622 	 0.014129 	  0.011406 	 0.004477 	 0.032955 	 0.076896 	 0.010028 
300000000.000000 	 1473.000000 	 0.011770 	 0.013949 	  0.011542 	 0.004296 	 0.034278 	 0.079838 	 0.010040 
290000000.000000 	 1473.000000 	 0.011958 	 0.013769 	  0.011715 	 0.004115 	 0.035844 	 0.083306 	 0.010055 
280000000.000000 	 1473.000000 	 0.012170 	 0.013589 	  0.011911 	 0.003935 	 0.037613 	 0.087204 	 0.010072 
270000000.000000 	 1473.000000 	 0.012391 	 0.013412 	  0.012115 	 0.003757 	 0.039536 	 0.091423 	 0.010091 
260000000.000000 	 1473.000000 	 0.012607 	 0.013237 	  0.012312 	 0.003582 	 0.041567 	 0.095853 	 0.010111 
250000000.000000 	 1473.000000 	 0.012807 	 0.013066 	  0.012491 	 0.003411 	 0.043660 	 0.100393 	 0.010131 
240000000.000000 	 1473.000000 	 0.012979 	 0.012899 	  0.012643 	 0.003244 	 0.045775 	 0.104954 	 0.010152 
230000000.000000 	 1473.000000 	 0.013119 	 0.012736 	  0.012761 	 0.003082 	 0.047877 	 0.109463 	 0.010173 
220000000.000000 	 1473.000000 	 0.013219 	 0.012579 	  0.012841 	 0.002924 	 0.049938 	 0.113859 	 0.010194 
210000000.000000 	 1473.000000 	 0.013276 	 0.012425 	  0.012877 	 0.002770 	 0.051936 	 0.118096 	 0.010214 
200000000.000000 	 1473.000000 	 0.013288 	 0.012276 	  0.012869 	 0.002621 	 0.053853 	 0.122140 	 0.010233 
190000000.000000 	 1473.000000 	 0.013253 	 0.012132 	  0.012814 	 0.002476 	 0.055676 	 0.125967 	 0.010252 
180000000.000000 	 1473.000000 	 0.013171 	 0.011992 	  0.012712 	 0.002336 	 0.057398 	 0.129565 	 0.010269 
170000000.000000 	 1473.000000 	 0.013041 	 0.011855 	  0.012564 	 0.002199 	 0.059014 	 0.132926 	 0.010286 
160000000.000000 	 1473.000000 	 0.012864 	 0.011722 	  0.012368 	 0.002065 	 0.060524 	 0.136053 	 0.010301 
150000000.000000 	 1473.000000 	 0.012638 	 0.011592 	  0.012125 	 0.001935 	 0.061927 	 0.138949 	 0.010316 
140000000.000000 	 1473.000000 	 0.012365 	 0.011466 	  0.011834 	 0.001808 	 0.063228 	 0.141624 	 0.010330 
130000000.000000 	 1473.000000 	 0.012044 	 0.011342 	  0.011496 	 0.001684 	 0.064432 	 0.144089 	 0.010342 
120000000.000000 	 1473.000000 	 0.011673 	 0.011221 	  0.011110 	 0.001562 	 0.065542 	 0.146358 	 0.010354 
110000000.000000 	 1473.000000 	 0.011252 	 0.011102 	  0.010673 	 0.001442 	 0.066566 	 0.148443 	 0.010364 
100000000.000000 	 1473.000000 	 0.010778 	 0.010984 	  0.010183 	 0.001324 	 0.067507 	 0.150356 	 0.010374 
90000000.000000 	 1473.000000 	 0.010247 	 0.010869 	  0.009637 	 0.001208 	 0.068371 	 0.152106 	 0.010384 
80000000.000000 	 1473.000000 	 0.009654 	 0.010754 	  0.009029 	 0.001092 	 0.069160 	 0.153703 	 0.010392 
70000000.000000 	 1473.000000 	 0.008992 	 0.010640 	  0.008353 	 0.000977 	 0.069877 	 0.155150 	 0.010400 
60000000.000000 	 1473.000000 	 0.008253 	 0.010526 	  0.007598 	 0.000862 	 0.070521 	 0.156449 	 0.010406 
50000000.000000 	 1473.000000 	 0.007421 	 0.010410 	  0.006752 	 0.000746 	 0.071092 	 0.157598 	 0.010413 
40000000.000000 	 1473.000000 	 0.006480 	 0.010293 	  0.005795 	 0.000627 	 0.071585 	 0.158587 	 0.010418 
30000000.000000 	 1473.000000 	 0.005403 	 0.010170 	  0.004701 	 0.000504 	 0.071990 	 0.159401 	 0.010422 
20000000.000000 	 1473.000000 	 0.004146 	 0.010039 	  0.003428 	 0.000371 	 0.072295 	 0.160011 	 0.010426 
